probeid,GB_ACC
AFFX-Tae-r2-Bs-lys-3_at,
AFFX-Tae-r2-Bs-lys-5_at,
AFFX-Tae-r2-Bs-lys-M_at,
AFFX-Tae-r2-Bs-phe-3_at,
AFFX-Tae-r2-Bs-phe-5_at,
AFFX-Tae-r2-Bs-phe-M_at,
AFFX-Tae-r2-Bs-thr-3_s_at,
AFFX-Tae-r2-Bs-thr-5_s_at,
AFFX-Tae-r2-Bs-thr-M_s_at,
AFFX-Tae-r2-Ec-bioB-3_at,
AFFX-Tae-r2-Ec-bioB-5_at,
AFFX-Tae-r2-Ec-bioB-M_at,
AFFX-Tae-r2-Ec-bioC-3_at,
AFFX-Tae-r2-Ec-bioC-5_at,
AFFX-Tae-r2-Ec-bioD-3_at,
AFFX-Tae-r2-Ec-bioD-5_at,
AFFX-Tae-r2-P1-cre-3_s_at,
AFFX-Tae-r2-P1-cre-5_s_at,
AFFX-Tae-TrpnX-3_at,
AFFX-Tae-TrpnX-5_at,
AFFX-Tae-TrpnX-M_at,
AFFX-Ta_18SrRNA_at,
AFFX-Ta_CYP86-TA_3_at,
AFFX-Ta_CYP86-TA_5_at,
AFFX-Ta_CYP86-TA_M_at,
AFFX-Ta_G-6-PDH_3_s_at,
AFFX-Ta_G-6-PDH_5_s_at,
AFFX-Ta_G-6-PDH_M_s_at,
AFFX-Ta_Sucsyn_3_at,
AFFX-Ta_Sucsyn_5_at,
AFFX-Ta_Sucsyn_M_at,
AFFX-Ta_Ubiquitin_3_at,
AFFX-Ta_Ubiquitin_5_at,
AFFX-Ta_Ubiquitin_M_at,
AFFX-ThrX-3_at,
AFFX-ThrX-5_at,
AFFX-ThrX-M_at,
AFFX-TrpnX-3_at,
AFFX-TrpnX-5_at,
AFFX-TrpnX-M_at,
RPTR-Ta-A00196-1_s_at,
RPTR-Ta-A06498-1_at,
RPTR-Ta-A12338-1_at,
RPTR-Ta-AB076373-1_at,
RPTR-Ta-AE009032-1_at,
RPTR-Ta-AF062997-1_at,
RPTR-Ta-AF292559-1_at,
RPTR-Ta-AF292559-2_s_at,
RPTR-Ta-AF292559-3_s_at,
RPTR-Ta-AF292559-4_s_at,
RPTR-Ta-AF292560-1_s_at,
RPTR-Ta-AF298789-1_at,
RPTR-Ta-AF323980-1_at,
RPTR-Ta-AF403737-1_at,
RPTR-Ta-AJ002682-1_s_at,
RPTR-Ta-AJ002682-2_s_at,
RPTR-Ta-AJ132968-1_at,
RPTR-Ta-AY056050-1_at,
RPTR-Ta-AY125353_at,
RPTR-Ta-CVE247372-1_at,
RPTR-Ta-E00696-1_s_at,
RPTR-Ta-ECOLOXB_at,
RPTR-Ta-ECOLOXL_at,
RPTR-Ta-ECOLOXL_x_at,
RPTR-Ta-J01347-1_at,
RPTR-Ta-J01347-1_s_at,
RPTR-Ta-J01347-2_at,
RPTR-Ta-J01347-3_at,
RPTR-Ta-J01347-4_at,
RPTR-Ta-J01636-1_at,
RPTR-Ta-J01636-3_at,
RPTR-Ta-J01636-4_at,
RPTR-Ta-J03196-1_at,
RPTR-Ta-K01193-1_at,
RPTR-Ta-K01486-1_at,
RPTR-Ta-L36849-1_at,
RPTR-Ta-M10961-1_at,
RPTR-Ta-M10961-2_at,
RPTR-Ta-M10961-4_at,
RPTR-Ta-M15077-1_at,
RPTR-Ta-M15077-1_s_at,
RPTR-Ta-M57289-1_s_at,
RPTR-Ta-M62653-1_at,
RPTR-Ta-M62653-1_s_at,
RPTR-Ta-NC_001669-1_at,
RPTR-Ta-NC_001669-2_at,
RPTR-Ta-NC_002086-1_at,
RPTR-Ta-NM_131175-1_at,
RPTR-Ta-U43284-1_s_at,
RPTR-Ta-U46493-1_s_at,
RPTR-Ta-U47295-1_at,
RPTR-Ta-U55943-1_at,
RPTR-Ta-U55943-1_x_at,
RPTR-Ta-U57609-2_s_at,
RPTR-Ta-U89963-1_at,
RPTR-Ta-U89963-1_s_at,
RPTR-Ta-U89963-1_x_at,
RPTR-Ta-V01555-1_at,
RPTR-Ta-X03453-1_at,
RPTR-Ta-X03453-2_s_at,
RPTR-Ta-X17220-1_at,
RPTR-Ta-X58791-1_s_at,
RPTR-Ta-X58791-2_s_at,
RPTR-Ta-XXU09476-1_at,
Ta.10.1.S1_a_at,Z22874.1
Ta.10.1.S1_x_at,Z22874.1
Ta.10.2.S1_x_at,Z22873.1
Ta.100.1.S1_at,D64051.1
Ta.1000.1.S1_at,BQ162749
Ta.10000.1.A1_at,CD912490
Ta.10001.1.S1_at,BJ236402
Ta.10001.1.S1_a_at,BJ236402
Ta.10003.1.S1_at,BJ236495
Ta.10003.1.S1_x_at,BJ236495
Ta.10005.1.S1_at,CK166642
Ta.10008.1.A1_at,BJ236595
Ta.10009.1.S1_at,CD454116
Ta.10009.2.S1_a_at,CA664560
Ta.10009.2.S1_x_at,CA664560
Ta.1001.1.A1_at,BG908267
Ta.10010.1.S1_x_at,CA631889
Ta.10012.1.S1_at,CD885729
Ta.10013.1.A1_at,BJ241997
Ta.10014.1.S1_at,CA675789
Ta.10014.2.S1_at,CA685632
Ta.10014.3.S1_at,CA609659
Ta.10014.3.S1_a_at,CA609659
Ta.10015.1.A1_at,BJ283630
Ta.10015.1.A1_a_at,BJ283630
Ta.10015.2.S1_at,CD872946
Ta.10015.3.S1_at,CA600988
Ta.10016.1.S1_at,BJ236829
Ta.10017.1.S1_at,BJ236832
Ta.10018.1.S1_at,CA721497
Ta.10019.1.S1_at,BJ236855
Ta.1002.1.S1_at,CK153817
Ta.10020.1.S1_at,BJ236889
Ta.10021.1.S1_at,BT008988.1
Ta.10023.1.S1_at,BJ236927
Ta.10024.1.S1_at,BJ236932
Ta.10024.1.S1_s_at,BJ236932
Ta.10025.1.S1_at,BJ236990
Ta.10026.1.A1_at,BJ236992
Ta.10027.1.S1_at,BQ170087
Ta.10027.3.S1_at,CA610541
Ta.10028.1.S1_at,BJ239477
Ta.10028.1.S1_s_at,BJ239477
Ta.10029.1.S1_at,CD885988
Ta.10031.1.S1_at,BJ269082
Ta.10032.1.S1_a_at,CA644589
Ta.10032.3.S1_at,BJ237083
Ta.10034.1.S1_at,CK170235
Ta.10034.2.S1_a_at,BJ242727
Ta.10035.1.S1_at,BQ242499
Ta.10036.1.S1_at,BJ242860
Ta.10037.1.S1_at,BJ237364
Ta.10037.1.S1_a_at,BJ237364
Ta.10037.2.S1_at,CA594411
Ta.10037.3.S1_at,CA670341
Ta.10037.3.S1_x_at,CA670341
Ta.10038.1.S1_at,CA502271
Ta.10038.3.S1_a_at,BJ242954
Ta.10039.1.S1_at,BQ168415
Ta.1004.1.A1_at,BG908274
Ta.10040.1.S1_at,CA670782
Ta.10040.2.S1_s_at,CA670362
Ta.10041.1.S1_at,BJ237437
Ta.10042.1.S1_at,CK205237
Ta.10042.2.S1_at,CA711010
Ta.10045.1.S1_a_at,CA604324
Ta.10046.1.S1_at,CA709119
Ta.10047.1.S1_s_at,AY568295.1
Ta.10047.2.S1_at,AY568303.1
Ta.10048.1.S1_at,CD454150
Ta.10048.2.S1_at,CA713996
Ta.10048.2.S1_a_at,CA713996
Ta.10048.3.S1_at,BJ232348
Ta.1005.1.S1_at,BE405270
Ta.10053.1.A1_at,BJ232425
Ta.10054.1.S1_at,AF519804.1
Ta.10056.1.S1_at,CD896731
Ta.10057.1.S1_a_at,CD454619
Ta.10057.3.A1_at,BJ239722
Ta.10057.3.A1_a_at,BJ239722
Ta.10058.1.A1_at,CK205233
Ta.10059.1.S1_at,CA730457
Ta.10059.2.S1_at,BJ268909
Ta.10059.2.S1_a_at,BJ268909
Ta.1006.1.S1_at,CA630632
Ta.10060.1.A1_at,BJ238356
Ta.10061.1.S1_at,BJ232748
Ta.10063.1.S1_at,CK194361
Ta.10063.1.S1_s_at,CK194361
Ta.10063.2.S1_at,CA671032
Ta.10064.1.S1_at,BQ805508
Ta.10065.1.S1_at,CD937007
Ta.10066.1.S1_at,BE515990
Ta.10067.1.A1_at,BJ262535
Ta.10067.2.S1_at,BJ256960
Ta.10068.1.S1_at,AL830062
Ta.10069.1.S1_at,BJ233195
Ta.10072.1.A1_at,BJ238951
Ta.10073.1.S1_a_at,CA627499
Ta.10074.1.S1_at,BJ243068
Ta.10076.2.S1_a_at,CA620317
Ta.10076.3.S1_at,CA693675
Ta.10076.3.S1_x_at,CA693675
Ta.10078.1.S1_at,CK214234
Ta.10081.1.S1_at,CA635807
Ta.10081.2.S1_at,BG909012
Ta.10082.1.S1_a_at,BJ239277
Ta.10082.2.S1_at,BJ253884
Ta.10082.3.A1_s_at,BJ261535
Ta.10083.1.S1_at,CD898484
Ta.10084.1.S1_at,AF110180.1
Ta.10085.1.S1_x_at,BQ171616
Ta.10085.2.S1_at,CA622128
Ta.10086.1.S1_at,CK211250
Ta.10087.1.A1_at,CK210058
Ta.10088.1.S1_at,CK213077
Ta.10088.2.S1_x_at,CA713017
Ta.10089.1.S1_x_at,CK195398
Ta.10089.2.S1_a_at,CA655290
Ta.10089.3.S1_a_at,CA663398
Ta.10089.3.S1_x_at,CA663398
Ta.1009.1.S1_s_at,BJ320581
Ta.1009.2.S1_at,CA609425
Ta.1009.3.S1_at,CA611448
Ta.10090.2.S1_a_at,BJ216831
Ta.10091.1.A1_at,BJ239733
Ta.10091.2.S1_at,BJ233863
Ta.10092.1.S1_at,CA614315
Ta.10092.1.S1_x_at,CA614315
Ta.10092.2.S1_at,CA649342
Ta.10092.2.S1_x_at,CA649342
Ta.10092.3.A1_at,CA651225
Ta.10093.1.A1_at,BJ248899
Ta.10094.1.S1_at,BJ233948
Ta.10095.1.S1_at,BJ239830
Ta.10095.2.S1_at,CA615757
Ta.10095.2.S1_a_at,CA615757
Ta.10095.2.S1_x_at,CA615757
Ta.10096.1.S1_at,CD490419
Ta.10096.1.S1_x_at,CD490419
Ta.10097.1.S1_at,CK209798
Ta.10097.1.S1_x_at,CK209798
Ta.10098.1.S1_at,AW448860
Ta.10098.1.S1_x_at,AW448860
Ta.10098.2.S1_a_at,BQ842009
Ta.10098.3.S1_a_at,BJ246700
Ta.10098.3.S1_x_at,BJ246700
Ta.10099.1.S1_at,BQ166800
Ta.10099.1.S1_x_at,BQ166800
Ta.10099.2.S1_x_at,BJ239955
Ta.1010.1.S1_at,BJ284296
Ta.10100.2.S1_a_at,BJ244873
Ta.10100.2.S1_s_at,BJ244873
Ta.10100.2.S1_x_at,BJ244873
Ta.10101.1.S1_at,BJ234334
Ta.10101.1.S1_s_at,BJ234334
Ta.10102.1.A1_at,BJ268233
Ta.10102.2.S1_at,BJ234195
Ta.10103.1.A1_at,BJ234272
Ta.10104.1.S1_at,BJ234317
Ta.10105.1.S1_at,CA603317
Ta.10106.1.S1_at,BJ235105
Ta.10107.1.S1_at,BQ752620
Ta.10107.2.S1_a_at,CA638683
Ta.10107.2.S1_x_at,CA638683
Ta.10107.3.S1_at,BJ304072
Ta.10107.3.S1_x_at,BJ304072
Ta.10108.1.S1_at,BE516761
Ta.10108.1.S1_x_at,BE516761
Ta.10108.2.A1_a_at,CA684446
Ta.10108.2.A1_x_at,CA684446
Ta.10108.3.S1_a_at,BJ307443
Ta.10109.1.S1_x_at,CD893608
Ta.10109.2.S1_at,CA712979
Ta.10109.2.S1_x_at,CA712979
Ta.10110.1.S1_at,CA651992
Ta.10110.2.S1_a_at,CA607121
Ta.10110.2.S1_x_at,CA607121
Ta.10111.1.A1_at,BJ240472
Ta.10112.1.S1_at,CD884721
Ta.10114.1.S1_at,CA641159
Ta.10114.2.S1_at,CA661875
Ta.10114.2.S1_a_at,CA661875
Ta.10116.1.S1_a_at,CK194257
Ta.10116.3.S1_at,CA620941
Ta.10116.3.S1_a_at,CA620941
Ta.10117.1.S1_a_at,CA670772
Ta.10117.3.S1_at,CA646681
Ta.10118.2.S1_a_at,BJ238964
Ta.10118.3.S1_at,BJ235487
Ta.10119.1.S1_a_at,BQ244416
Ta.10119.3.S1_x_at,CA721050
Ta.1012.1.S1_at,CK151836
Ta.1012.2.S1_at,CA606715
Ta.1012.2.S1_a_at,CA606715
Ta.10120.1.S1_at,BJ224992
Ta.10120.1.S1_x_at,BJ224992
Ta.10124.1.S1_at,BJ218430
Ta.10125.1.S1_at,BJ310736
Ta.10125.2.S1_at,BJ228868
Ta.10125.2.S1_a_at,BJ228868
Ta.10125.3.S1_x_at,CA651364
Ta.10126.2.S1_a_at,CA641278
Ta.10126.3.S1_a_at,CA636210
Ta.10127.1.S1_at,BQ167087
Ta.10127.2.A1_at,CD896393
Ta.10127.2.A1_a_at,CD896393
Ta.10127.2.A1_x_at,CD896393
Ta.10128.1.A1_at,BJ241072
Ta.10129.1.S1_at,CA648907
Ta.10129.2.S1_x_at,CA624739
Ta.1013.1.S1_at,AF139814.1
Ta.10130.1.S1_at,CK198845
Ta.10131.1.A1_at,CD373665
Ta.10132.1.A1_at,BJ241128
Ta.10133.1.S1_x_at,CD907669
Ta.10133.2.S1_x_at,CA733838
Ta.10133.3.S1_x_at,CA717405
Ta.10134.1.A1_at,BJ241164
Ta.10134.1.A1_x_at,BJ241164
Ta.10135.1.A1_at,BJ241204
Ta.10139.1.S1_at,BJ309587
Ta.10139.1.S1_s_at,BJ309587
Ta.1014.1.S1_at,BJ252012
Ta.10140.1.S1_at,AF525425.1
Ta.10141.1.S1_at,BJ214812
Ta.10142.1.S1_s_at,BJ236272
Ta.10143.1.S1_a_at,CD892982
Ta.10143.1.S1_x_at,CD892982
Ta.10143.2.S1_at,CA653934
Ta.10143.2.S1_a_at,CA653934
Ta.10143.3.S1_x_at,CA745853
Ta.10144.1.S1_at,BE423189
Ta.10145.1.S1_at,BJ271915
Ta.10145.1.S1_x_at,BJ271915
Ta.10145.2.S1_a_at,CA604684
Ta.10145.2.S1_x_at,CA604684
Ta.10145.3.S1_at,CA620538
Ta.10147.1.S1_x_at,CD920859
Ta.10147.2.S1_x_at,BQ608922
Ta.10147.3.S1_at,BQ805418
Ta.10147.3.S1_x_at,BQ805418
Ta.10148.1.S1_at,AL819737
Ta.10151.1.S1_at,BJ234600
Ta.10153.1.A1_at,BJ242044
Ta.10155.1.A1_at,BQ237997
Ta.10155.2.S1_at,BU099609
Ta.10156.1.A1_s_at,BJ243125
Ta.10158.1.A1_at,CA728568
Ta.10158.2.S1_at,BJ234723
Ta.1016.1.S1_at,CA648287
Ta.10162.1.S1_at,CD453460
Ta.10164.1.S1_x_at,BJ234909
Ta.10164.2.S1_a_at,CA601625
Ta.10164.2.S1_x_at,CA601625
Ta.10165.1.S1_at,AJ613166
Ta.10166.1.A1_at,CA598364
Ta.10168.1.S1_at,CA663081
Ta.1017.1.S1_s_at,CA712586
Ta.1017.1.S1_x_at,CA712586
Ta.10170.1.S1_at,BJ239084
Ta.10172.1.S1_at,BQ805344
Ta.10172.1.S1_x_at,BQ805344
Ta.10172.2.S1_x_at,CA721358
Ta.10172.3.A1_x_at,BJ238043
Ta.10173.1.S1_at,BG905567
Ta.10173.2.S1_at,CA664726
Ta.10173.2.S1_x_at,CA664726
Ta.10173.3.S1_at,CA661824
Ta.10173.3.S1_x_at,CA661824
Ta.10174.1.A1_at,BQ171650
Ta.10175.2.A1_at,CA737193
Ta.10176.1.S1_at,CK159075
Ta.10177.1.A1_at,BJ311805
Ta.10177.2.S1_at,BJ305256
Ta.1018.1.S1_x_at,BJ220285
Ta.1018.2.S1_x_at,BJ296007
Ta.10180.1.A1_at,BQ166359
Ta.10181.2.S1_a_at,CA635960
Ta.10181.3.S1_a_at,CA648012
Ta.10182.1.S1_at,BJ242478
Ta.10183.1.S1_at,CK199039
Ta.10183.2.S1_at,CA738003
Ta.10183.3.S1_at,CA615175
Ta.10184.1.S1_a_at,BQ169681
Ta.10184.2.S1_at,CA735985
Ta.10185.1.S1_at,BQ806752
Ta.10185.2.S1_a_at,CA647874
Ta.10185.2.S1_x_at,CA647874
Ta.10185.3.A1_at,CA706460
Ta.10186.1.S1_at,CA611920
Ta.10187.1.A1_at,BJ242976
Ta.10187.2.S1_a_at,BJ257028
Ta.10188.1.A1_at,BJ234699
Ta.10189.2.S1_at,BQ240997
Ta.10189.3.S1_a_at,CA641535
Ta.1019.2.A1_a_at,CK205292
Ta.10190.1.S1_at,CA632824
Ta.10191.1.S1_at,BJ243280
Ta.10192.1.A1_at,AJ615623
Ta.10193.1.S1_at,CK192997
Ta.10193.2.S1_a_at,CA640484
Ta.10193.3.S1_a_at,CA610886
Ta.10194.1.S1_at,BJ243320
Ta.10196.1.S1_at,BJ243347
Ta.10197.1.S1_at,BJ243405
Ta.10198.1.S1_at,BF482700
Ta.10198.2.A1_at,BJ253130
Ta.10199.1.A1_at,BJ249497
Ta.10199.2.S1_at,BJ243442
Ta.1020.1.S1_a_at,CK171275
Ta.1020.2.A1_x_at,CK205649
Ta.10200.1.A1_a_at,CK205234
Ta.10200.1.A1_x_at,CK205234
Ta.10200.2.S1_at,CA647779
Ta.10200.2.S1_x_at,CA647779
Ta.10201.1.S1_x_at,CA633098
Ta.10201.2.S1_x_at,CA722254
Ta.10201.3.S1_at,BQ169510
Ta.10202.1.S1_at,CA644112
Ta.10202.2.S1_at,CA661881
Ta.10203.1.S1_at,CK212608
Ta.10203.2.A1_at,CA664081
Ta.10203.3.S1_a_at,CA659053
Ta.10203.3.S1_x_at,CA659053
Ta.10204.1.S1_at,CK212760
Ta.10204.2.A1_at,CD453365
Ta.10204.2.A1_a_at,CD453365
Ta.10204.3.S1_a_at,CA623106
Ta.10205.1.S1_at,BJ243550
Ta.10206.1.S1_at,BJ243621
Ta.10207.1.S1_at,BJ243702
Ta.10208.2.S1_a_at,BJ249754
Ta.10209.1.A1_at,BJ249763
Ta.10209.2.S1_at,BJ243714
Ta.1021.1.S1_at,BJ321957
Ta.10211.2.S1_at,BJ243761
Ta.10212.2.S1_a_at,BJ243918
Ta.10212.3.S1_at,BJ243736
Ta.10213.1.S1_at,BJ249947
Ta.10213.2.S1_a_at,CA610492
Ta.10214.1.S1_at,BJ250123
Ta.10214.2.S1_at,BJ225413
Ta.10214.3.S1_at,BJ244320
Ta.10215.1.S1_at,AF543844.1
Ta.10216.1.A1_at,BJ250809
Ta.10216.2.S1_at,BJ244515
Ta.10217.1.A1_at,BQ170754
Ta.10217.2.S1_at,CA733771
Ta.10217.3.S1_at,CA705537
Ta.10218.1.S1_at,CA670721
Ta.10218.2.S1_at,BJ277792
Ta.10218.2.S1_x_at,BJ277792
Ta.10218.3.S1_at,BJ244566
Ta.10219.1.A1_at,BJ250506
Ta.10219.2.S1_at,BJ244646
Ta.1022.1.S1_at,BQ162491
Ta.1022.2.S1_a_at,CK215401
Ta.1022.2.S1_x_at,CK215401
Ta.1022.3.S1_at,BQ162419
Ta.10220.1.S1_at,BJ244658
Ta.10221.2.S1_a_at,BQ801259
Ta.10221.3.S1_at,BJ226299
Ta.10223.1.A1_at,BJ299072
Ta.10223.2.S1_at,BJ244845
Ta.10224.1.A1_at,BJ250848
Ta.10224.2.S1_at,BJ244980
Ta.10225.1.S1_x_at,BQ168961
Ta.10225.2.S1_at,CA701248
Ta.10226.1.S1_at,CD490522
Ta.10227.1.S1_at,CK208244
Ta.10229.1.A1_at,BJ251774
Ta.10229.2.S1_at,BJ245837
Ta.1023.1.S1_at,CF134054
Ta.10230.1.S1_at,BJ251758
Ta.10230.2.S1_a_at,BJ313540
Ta.10231.1.A1_at,BJ251950
Ta.10231.2.S1_at,BJ246035
Ta.10232.1.S1_a_at,BQ802669
Ta.10232.3.S1_at,CD862225
Ta.10232.3.S1_a_at,CD862225
Ta.10233.1.S1_at,BJ252002
Ta.10233.2.S1_at,BJ270528
Ta.10234.1.A1_at,CD910254
Ta.10234.2.S1_at,BJ256580
Ta.10234.2.S1_x_at,BJ256580
Ta.10234.3.S1_x_at,BJ246096
Ta.10235.1.S1_at,BJ246114
Ta.10236.1.A1_at,CK205521
Ta.10236.2.S1_at,BJ278388
Ta.10236.2.S1_a_at,BJ278388
Ta.10236.2.S1_x_at,BJ278388
Ta.10237.1.S1_at,BJ283883
Ta.10237.2.S1_at,BQ743743
Ta.10238.1.A1_at,CA595930
Ta.10238.2.S1_at,BJ246305
Ta.10239.1.S1_at,BJ237619
Ta.10239.2.S1_at,CA746204
Ta.10239.2.S1_x_at,CA746204
Ta.1024.1.S1_at,CD926432
Ta.10240.1.S1_at,CD454934
Ta.10240.1.S1_x_at,CD454934
Ta.10240.2.S1_at,CA657539
Ta.10240.2.S1_x_at,CA657539
Ta.10241.1.S1_at,CK212105
Ta.10241.2.S1_at,BJ246760
Ta.10243.1.S1_a_at,CK198310
Ta.10243.1.S1_x_at,CK198310
Ta.10243.2.S1_at,CK163299
Ta.10243.3.S1_at,CA739680
Ta.10245.1.A1_at,CA605349
Ta.10246.1.S1_at,BQ170610
Ta.10247.1.A1_at,BJ253765
Ta.10247.2.S1_at,BJ316646
Ta.10247.3.A1_at,BJ295812
Ta.10247.3.A1_x_at,BJ295812
Ta.10249.1.S1_at,CF133824
Ta.10249.1.S1_a_at,CF133824
Ta.10249.1.S1_x_at,CF133824
Ta.10249.2.S1_at,BJ319818
Ta.10250.1.A1_a_at,CD452858
Ta.10250.3.S1_at,CA695383
Ta.10251.1.A1_at,BJ252738
Ta.10251.2.S1_at,BJ246779
Ta.10252.1.S1_at,CD490855
Ta.10252.2.S1_a_at,BJ250789
Ta.10252.3.S1_a_at,BJ250924
Ta.10255.1.A1_s_at,BJ255005
Ta.10255.2.S1_at,CA609824
Ta.10255.3.S1_at,BJ272596
Ta.10255.3.S1_x_at,BJ272596
Ta.10256.1.A1_at,BJ254478
Ta.10256.2.S1_at,BJ258188
Ta.10256.3.S1_at,BJ247499
Ta.10257.1.A1_at,BJ255295
Ta.10257.1.A1_x_at,BJ255295
Ta.10257.2.A1_at,BJ275710
Ta.10258.1.A1_at,CD454064
Ta.10259.1.S1_at,BJ265952
Ta.1026.1.S1_a_at,CA693360
Ta.1026.2.S1_x_at,CA612305
Ta.1026.3.S1_x_at,CA700666
Ta.10260.1.S1_at,CD373536
Ta.10261.1.S1_at,BJ254510
Ta.10262.1.A1_at,BQ170076
Ta.10262.1.A1_a_at,BQ170076
Ta.10262.2.A1_at,CA606642
Ta.10263.1.S1_at,CA703693
Ta.10263.1.S1_a_at,CA703693
Ta.10263.2.S1_at,BJ243367
Ta.10263.3.S1_x_at,CA709057
Ta.10264.1.S1_at,CD933772
Ta.10266.1.S1_at,BJ254068
Ta.10267.1.A1_at,BJ249543
Ta.10268.1.S1_at,BJ249627
Ta.10269.1.A1_at,CA636238
Ta.10269.2.S1_at,BJ243560
Ta.10269.3.S1_at,BJ236928
Ta.1027.1.A1_a_at,BG908387
Ta.1027.3.S1_at,BG908384
Ta.1027.3.S1_x_at,BG908384
Ta.10270.1.A1_at,BQ169522
Ta.10270.2.A1_a_at,CA733411
Ta.10271.1.S1_at,CK209140
Ta.10271.2.A1_at,BG907180
Ta.10272.1.S1_at,BJ249702
Ta.10273.1.S1_at,CD454015
Ta.10273.1.S1_x_at,CD454015
Ta.10274.1.S1_at,CD917751
Ta.10275.1.S1_at,BQ170676
Ta.10276.1.A1_at,BJ249851
Ta.10277.1.S1_at,BJ254042
Ta.10279.1.S1_at,CA605107
Ta.10279.3.A1_at,CA737026
Ta.1028.1.S1_x_at,BE442684
Ta.10280.1.S1_at,BJ236602
Ta.10280.1.S1_x_at,BJ236602
Ta.10281.1.S1_at,BQ169398
Ta.10281.1.S1_a_at,BQ169398
Ta.10281.2.S1_at,CA611490
Ta.10281.3.S1_at,CA611455
Ta.10282.1.A1_at,BQ171829
Ta.10283.1.A1_at,BJ244124
Ta.10284.1.S1_a_at,BU672165
Ta.10284.2.S1_a_at,CF133494
Ta.10285.2.S1_a_at,BJ251847
Ta.10285.3.S1_at,CA742602
Ta.10286.1.S1_at,CA644098
Ta.10286.1.S1_a_at,CA644098
Ta.10287.1.A1_at,BJ250058
Ta.10289.1.A1_at,BJ249987
Ta.10289.2.S1_at,BJ244190
Ta.1029.1.S1_x_at,BE444819
Ta.10291.1.S1_at,BJ244216
Ta.10293.1.A1_s_at,BJ244236
Ta.10294.1.S1_at,BJ244239
Ta.10295.1.S1_at,CD454609
Ta.10295.1.S1_x_at,CD454609
Ta.10296.1.S1_a_at,CK196698
Ta.10297.1.A1_at,BJ250042
Ta.10297.2.S1_at,BJ244245
Ta.10297.3.S1_at,BJ246509
Ta.10298.1.A1_at,BJ250049
Ta.10299.1.S1_at,BJ251272
Ta.10299.2.S1_a_at,BJ293297
Ta.103.1.S1_at,D16416.1
Ta.1030.1.S1_at,CK172170
Ta.1030.1.S1_a_at,CK172170
Ta.1030.1.S1_x_at,CK172170
Ta.1030.2.S1_at,CD938451
Ta.10300.1.S1_at,CA741720
Ta.10301.1.A1_at,BJ244285
Ta.10303.1.S1_at,BJ316273
Ta.10303.2.S1_at,CA692063
Ta.10303.3.S1_a_at,CA712796
Ta.10303.3.S1_x_at,CA712796
Ta.10304.1.S1_a_at,BJ276213
Ta.10305.1.A1_at,BE516999
Ta.10305.2.S1_at,BJ244342
Ta.10305.3.S1_at,BG905160
Ta.10307.1.A1_at,BJ275014
